supplychain,partnership,technology adaption,crop insurance,digital information platform,reach
36,6,1,56,2,46.7592592656701
4,22,1,65,3,43.98148139676289
15,29,2,64,1,51.3888888313402
36,32,1,56,3,59.25925919276288
33,40,1,33,2,50.46296288882474
34,34,2,25,3,45.370370308371136
74,29,3,48,3,72.68518518874227
60,9,1,34,2,49.07407410721649
76,23,3,27,1,60.185185231628864
84,11,1,32,1,59.722222292701026
97,3,1,30,2,61.57407416880412
23,24,2,49,1,45.83333330010309
30,6,2,44,2,38.8888888964536
98,21,2,22,2,67.12962969115465
18,16,3,40,1,36.11111109874227
44,31,1,30,3,50.46296291307216
18,23,3,36,2,37.96296292325773
42,30,1,50,2,57.870370328556696
32,4,3,22,2,29.166666691814427
87,19,2,20,1,59.722222286309275
82,13,2,69,1,77.31481487898968
44,0,1,24,2,32.870370406164945
70,25,2,66,2,76.38888889857732
69,26,2,67,1,76.38888890620618
94,23,2,66,2,86.57407411882474
60,29,3,68,2,74.99999999410309
65,38,2,31,1,63.425925915525774
17,3,3,51,1,34.72222223758763
57,27,3,70,3,74.07407405738145
83,36,3,47,1,78.70370372507216
55,28,3,62,1,68.98148148399999
58,3,3,34,1,45.83333340321649
54,10,2,47,2,53.24074076870102
60,18,1,50,1,60.18518520591753
73,9,2,48,1,61.574074139670095
56,6,3,24,1,41.666666728515466
82,30,1,61,3,81.94444444002062
71,36,1,22,2,61.11111109620618
88,10,2,57,3,74.074074132
71,17,2,26,1,54.16666671430927
7,29,1,49,1,40.277777705670104
82,1,2,66,3,71.29629636649484
32,36,3,62,3,62.962962894659796
14,13,2,60,1,41.666666646329894
81,3,2,25,2,52.31481489694845
67,17,1,61,2,68.51851853729897
1,33,2,35,2,33.79629620478351
14,7,3,42,1,31.018518522061854
89,14,3,64,1,79.16666674494844
57,29,2,24,1,52.31481481670103
75,39,1,69,2,86.11111108670103
72,31,1,51,1,72.22222222721649
1,13,3,28,2,21.75925922298969
60,12,2,69,1,66.66666670540205
4,27,3,68,2,48.14814807620618
40,25,3,42,1,51.38888888272165
53,11,2,66,3,62.50000000989691
37,4,1,43,3,40.740740743793815
22,39,1,39,2,47.685185098556694
80,9,2,57,3,69.90740745758762
34,36,2,47,2,56.01851845971134
42,12,1,29,2,39.814814818907216
6,12,3,66,2,41.20370367008247
45,39,1,68,1,71.29629624554639
72,10,3,28,2,53.24074080129896
8,16,2,45,2,33.79629625224742
93,13,1,47,2,72.2222222855464
27,10,3,44,1,39.351851864412374
47,29,1,53,2,61.11111107750515
46,17,3,65,2,61.5740740793402
25,14,3,38,2,37.962962953072164
23,16,1,40,2,37.96296293183505
24,14,3,23,2,30.555555546783502
22,13,2,49,1,40.27777776929897
85,12,3,68,3,79.16666672115464
7,11,2,57,3,37.0370369902268
28,14,2,58,3,48.61111108358763
2,31,3,53,2,42.12962954808247
58,28,2,46,2,62.96296295356701
63,34,3,66,2,77.77777776416495
50,31,2,27,1,51.38888887672165
100,4,1,39,2,67.5925926873196
89,27,3,53,1,80.09259264187628
61,1,3,61,1,58.79629637041237
12,38,1,33,3,40.27777767041237
41,12,3,67,2,57.87037038082474
88,23,2,40,3,72.2222222521031
43,5,3,45,1,44.90740745185567
19,14,1,25,2,28.2407407116701
74,26,3,26,3,61.11111112525773
96,16,1,50,1,75.92592599688659
23,31,3,50,2,50.46296290843299
70,35,2,55,3,76.38888886525773
73,12,2,45,2,62.037037084597934
28,37,1,22,2,41.66666659505154
13,10,2,62,2,41.20370367746391
40,4,3,41,2,41.666666698907214
75,14,2,42,2,62.500000045835044
33,4,3,37,1,36.1111111465567
33,11,1,40,3,40.740740722659794
9,4,2,51,2,31.48148146612371
68,5,1,20,1,43.98148154783505
1,21,1,29,1,24.537036979443297
5,3,1,70,1,37.0370370205567
48,18,3,21,1,42.12962965346392
82,34,2,26,3,68.05555555406185
43,35,1,53,1,61.574074032639174
76,5,3,21,2,49.53703711558762
73,32,1,54,3,75.46296294354639
35,10,2,30,2,36.574074080721644
52,12,3,62,1,60.18518522175258
94,20,1,22,1,63.88888895230928
86,30,1,45,3,76.38888889206186
73,32,3,66,2,81.48148148523711
33,23,1,62,3,56.48148143152577
76,4,1,30,3,52.77777783218556
19,2,1,35,3,27.777777764082476
81,3,3,65,3,71.7592593304536
75,10,3,29,1,54.629629705237114
87,38,2,59,2,87.03703703857731
79,18,1,30,1,59.72222227014433
32,36,1,31,1,46.75925920505155
99,13,3,23,2,64.81481490319588
95,22,3,41,2,75.46296302214434
42,30,3,23,3,46.759259223979385
18,22,1,68,1,50.92592588125773
16,24,2,48,1,42.12962958771134
78,2,1,31,3,53.24074080224742
34,2,1,61,2,46.296296308845356
58,15,1,50,2,58.33333334721649
74,21,2,26,1,57.40740744938144
48,4,2,67,2,56.94444447583505
96,20,3,26,1,67.592592671567
17,30,2,39,2,41.666666601835054
54,6,3,30,2,43.98148152843299
15,9,3,22,1,23.148148151402058
76,33,3,41,2,71.75925926841238
41,14,3,61,3,56.48148147674227
87,24,1,70,2,85.18518521125775
77,28,2,43,1,69.90740743391751
57,19,1,26,2,48.61111111808247
5,22,3,65,2,44.907407349030926
43,8,1,25,1,36.111111137979385
58,27,3,24,2,52.77777778107216
80,11,2,68,2,75.46296301808248
35,8,1,34,2,37.03703704094845
87,28,1,39,2,72.68518520672166
95,21,3,32,3,71.29629634785567
79,31,1,39,1,69.90740742315464
35,11,1,48,2,44.907407402
8,15,3,62,3,42.129629580659795
4,24,2,70,3,47.6851851017732
99,38,1,51,1,87.96296298552576
56,37,3,31,3,60.18518514977319
33,39,3,21,1,44.90740736261856
3,34,1,29,3,32.407407298762884
47,16,2,54,3,56.481481473876286
20,19,3,70,2,52.777777744659794
51,13,3,45,2,52.777777801999996
1,35,1,70,2,50.462962854329895
24,5,1,48,2,37.03703703191753
98,20,3,67,2,87.96296302653609
28,19,1,54,2,48.148148114020614
9,7,1,59,1,35.64814812901031
18,40,1,37,2,45.37037027663917
11,29,3,51,3,44.90740733086598
93,13,2,29,3,64.81481487641237
15,10,2,30,3,27.77777774773196
10,40,1,63,2,53.70370359573195
64,22,3,22,3,52.77777778938144
59,34,2,32,1,59.259259250577315
97,30,3,66,3,92.12962965703093
76,11,3,67,1,73.14814821661855
